"Zone_A","Zone_B","diff_median","diff_low","diff_high","Pr_A_greater_B","Credible_Different_95CI"
"Core","Buffer",0.00450285961173902,4.59750435655995e-05,0.00890812367329767,0.976666666666667,TRUE
"Core","Outside",0.00354880595916617,-0.000742820344109069,0.00803054308982058,0.946666666666667,FALSE
"Buffer","Outside",-0.000816914214882738,-0.00427249400337404,0.00280482764647587,0.33,FALSE
