"draw_id","Zone","Year","NMDS1","NMDS2"
1,"Core",2000,-0.15672104109462,-0.0855202610644538
1,"Core",2001,-0.156088378186817,-0.0532598909274501
1,"Core",2002,-0.154610974187943,-0.0435004716078643
1,"Core",2003,-0.131484854282672,-0.0418517534246471
1,"Core",2004,-0.151071096396796,-0.0407408061776167
1,"Core",2005,-0.13989269787195,-0.0315490007694892
1,"Core",2006,-0.139597052268992,-0.0143453268430321
1,"Core",2007,-0.14961989480136,-0.00482260766038687
1,"Core",2008,-0.138037764242406,0.00561334396869385
1,"Core",2009,-0.116711355055941,0.0117079384039121
1,"Core",2010,-0.125214107163008,0.0319678926736115
1,"Core",2011,-0.11483887313053,0.0362773849032506
1,"Core",2012,-0.104853774697632,0.0391494496137455
1,"Core",2013,-0.103589602424372,0.0537348349497877
1,"Core",2014,-0.0919339457489452,0.0471137816406674
1,"Core",2015,-0.0943631521494571,0.0805438800696536
1,"Core",2016,-0.0920943019899865,0.0846239826704283
1,"Core",2017,-0.0745230375865964,0.0962940091844362
1,"Core",2018,-0.0657196284137669,0.0896876636513556
1,"Core",2019,-0.0566936337321677,0.0986438091340759
1,"Core",2020,-0.0554036950750461,0.0842505358506196
1,"Core",2021,-0.053499891370535,0.118101271935264
1,"Core",2022,-0.0887426058410265,0.153791844602652
1,"Core",2023,-0.0698775559407992,0.169336113182215
1,"Buffer",2000,-0.0423323375301813,-0.110951703533186
1,"Buffer",2001,-0.0444582744261814,-0.0813831583719631
1,"Buffer",2002,-0.0362176075543619,-0.0851643296754471
1,"Buffer",2003,-0.0262850456747497,-0.084773772890005
1,"Buffer",2004,-0.0384259993963465,-0.0724670538257643
1,"Buffer",2005,-0.0399338339116555,-0.0860138477609511
1,"Buffer",2006,-0.0153370220416318,-0.0605266225132116
1,"Buffer",2007,-0.0185313202104664,-0.0510431837997025
1,"Buffer",2008,-0.00973517265086463,-0.0317519268336084
1,"Buffer",2009,0.00215751603026905,-0.0245561100511423
1,"Buffer",2010,0.00492291444731117,-0.0113484939866674
1,"Buffer",2011,0.0229567415090783,0.0081076978521648
1,"Buffer",2012,0.0207727706350517,0.000600888886111511
1,"Buffer",2013,0.0278489332216839,0.0032754131239405
1,"Buffer",2014,0.0158210404212409,0.0156798032366711
1,"Buffer",2015,0.0232235745830489,0.0122387767808951
1,"Buffer",2016,0.0227356022964427,0.0223740011394239
1,"Buffer",2017,0.0399192078768985,0.0147896169736752
1,"Buffer",2018,0.0439646155728546,0.0299148647329368
1,"Buffer",2019,0.0348965668179465,0.0305473225404434
1,"Buffer",2020,0.0414599121170697,0.0517611538235667
1,"Buffer",2021,0.0572107493725425,0.0624966418072665
1,"Buffer",2022,0.0649106108559854,0.107108624170806
1,"Buffer",2023,0.0787594473823857,0.142967108229246
1,"Outside",2000,0.020135553377138,-0.146500073771422
1,"Outside",2001,0.0290321058627899,-0.105142289392343
1,"Outside",2002,0.0336535419859813,-0.106624374913507
1,"Outside",2003,0.0604981608298112,-0.11916162401139
1,"Outside",2004,0.0431678430721829,-0.0897190122683124
1,"Outside",2005,0.0667213509273788,-0.0877590471675888
1,"Outside",2006,0.0764492117878895,-0.0942581844698394
1,"Outside",2007,0.0699469775655941,-0.082977403077351
1,"Outside",2008,0.0710973574960016,-0.0683198945412168
1,"Outside",2009,0.070546471563673,-0.0508273973794022
1,"Outside",2010,0.109013553379213,-0.0387469980502955
1,"Outside",2011,0.105195826429583,-0.0302445524956902
1,"Outside",2012,0.116564267710744,-0.0130476603622741
1,"Outside",2013,0.125190186024784,-0.0196239301344824
1,"Outside",2014,0.14622631700837,0.00409707813043475
1,"Outside",2015,0.12811312785419,0.0215121957166917
1,"Outside",2016,0.13222821417284,0.0117985511865299
1,"Outside",2017,0.123979155553609,0.0287045558657575
1,"Outside",2018,0.138436447839892,0.0332782900471138
1,"Outside",2019,0.140635094080777,0.0194614840993107
1,"Outside",2020,0.150930160874419,0.0272153343759027
1,"Outside",2021,0.157182043850587,0.0538056418091868
1,"Outside",2022,0.140462003044741,0.0627839720156219
1,"Outside",2023,0.139474351617806,0.103166010773638
2,"Core",2000,-0.1579997744982,-0.072314237534718
2,"Core",2001,-0.15155541637008,-0.0633227050579264
2,"Core",2002,-0.162034402542498,-0.0520186455317481
2,"Core",2003,-0.144602700503357,-0.0450239071985317
2,"Core",2004,-0.158437177579925,-0.0396505683199571
2,"Core",2005,-0.140943489868075,-0.0307097019620463
2,"Core",2006,-0.151531858070942,-0.0308312963725582
2,"Core",2007,-0.127488825471423,-0.0193699770273007
2,"Core",2008,-0.139676331595562,-0.00507602438426332
2,"Core",2009,-0.124721042266823,0.00125127309969919
2,"Core",2010,-0.12717246151575,0.0191097017318624
2,"Core",2011,-0.119827563781326,0.0327745018572178
2,"Core",2012,-0.111650255080843,0.0334142744781377
2,"Core",2013,-0.0986152545654117,0.048319240355245
2,"Core",2014,-0.098663064225898,0.0714186357700742
2,"Core",2015,-0.0989346762745572,0.057208035404606
2,"Core",2016,-0.0913856751197036,0.0808963492423582
2,"Core",2017,-0.0781408257970465,0.0895582473450716
2,"Core",2018,-0.0580886595548755,0.106380838446089
2,"Core",2019,-0.051545472195921,0.0744014805129601
2,"Core",2020,-0.0509785061987238,0.0766311241234375
2,"Core",2021,-0.0486614051234699,0.141011878520867
2,"Core",2022,-0.0626955709274182,0.161028237059119
2,"Core",2023,-0.0845531027659714,0.157907718964269
2,"Buffer",2000,-0.0479336297808112,-0.102438850250419
2,"Buffer",2001,-0.0382948462346849,-0.0997963530851118
2,"Buffer",2002,-0.0355467801865484,-0.0918676279855136
2,"Buffer",2003,-0.0440825835970253,-0.077169960060213
