"Zone","mean_delta_med","mean_delta_low","mean_delta_high","total_path_length","net_displacement","directionality_ratio"
"Core",0.0221005068173276,0.0185372700531524,0.02562956787762,0.346536354351152,0.269199556289191,0.776829192403882
"Outside",0.0185096986522846,0.01587642259512,0.0212343284351494,0.289790861495777,0.261330248464775,0.90178912860088
"Buffer",0.0177041263653065,0.0154022724161055,0.020183668896338,0.304065264988571,0.282658983823899,0.929599715490434
