"Zone","Year","delta_median","delta_low","delta_high"
"Core",2001,0.0247699799129086,0.0086370569625501,0.050015051974825
"Core",2002,0.019513579473997,0.00757170257920772,0.0424394066170032
"Core",2003,0.0166419547342662,0.00543219223880669,0.0352232675196404
"Core",2004,0.0152862834058207,0.00407185243511697,0.0320439647660029
"Core",2005,0.0162237869909309,0.00577385643198117,0.0341399794823726
"Core",2006,0.0178185529815783,0.00485222049926081,0.0391510829339029
"Core",2007,0.017585100921315,0.00546468786098253,0.0363508355390341
"Core",2008,0.0208155338380528,0.00731962136796053,0.0386588295439749
"Core",2009,0.0223963939903543,0.00853682969189425,0.0419669837474921
"Core",2010,0.0165323744431609,0.00482630992792642,0.0350538131631147
"Core",2011,0.0193004955979126,0.0073989934070171,0.0354891445157076
"Core",2012,0.018248177902555,0.004856486114276,0.0381844293381245
"Core",2013,0.0180900285383858,0.00475191968927191,0.0387555024472005
"Core",2014,0.0179598918857724,0.00521298366519156,0.0374554670941523
"Core",2015,0.016443680830481,0.00546735511227326,0.0346413320207815
"Core",2016,0.0167699151593078,0.00446992543374529,0.0364992049602625
"Core",2017,0.0252607791307954,0.00736280176926829,0.0462386689774424
"Core",2018,0.0177855261010534,0.00488057356688797,0.040593439572405
"Core",2019,0.0221382169248835,0.0058752084023877,0.043489026411355
"Core",2020,0.0176988609326191,0.00459251133474627,0.0372103196787932
"Core",2021,0.039452033109689,0.0113595194742539,0.0624900849172348
"Core",2022,0.0390569902879712,0.0171984428509779,0.0667643430380235
"Core",2023,0.0333021604421027,0.0133309249214378,0.0617851499458008
"Buffer",2001,0.0165303858929928,0.00543871495623322,0.0382032002972902
"Buffer",2002,0.015517786324249,0.00406597069687832,0.0342982317300166
"Buffer",2003,0.0128172871511401,0.0033511207753414,0.0307772046197918
"Buffer",2004,0.0104022773770048,0.00293337152980517,0.0263846761279531
"Buffer",2005,0.0111337958207969,0.00256005926515063,0.0244355079484682
"Buffer",2006,0.0159456547983744,0.00444252317401519,0.0358649003316104
"Buffer",2007,0.0154606989206196,0.00335567273911679,0.033129208907803
"Buffer",2008,0.0163752566660469,0.0048968126394871,0.0333248229842029
"Buffer",2009,0.0175836750885861,0.00592562092794788,0.0317337736932163
"Buffer",2010,0.0175966795121694,0.0057266858842133,0.0301014246023997
"Buffer",2011,0.0135983455783722,0.00366275634172495,0.0273387289871147
"Buffer",2012,0.0145317158963646,0.00409263028964429,0.0304131480632398
"Buffer",2013,0.0124412364117712,0.00346306470357881,0.0270909287947984
"Buffer",2014,0.010461481230423,0.00295585762259325,0.0260486785421244
"Buffer",2015,0.012833194778905,0.00354507657470564,0.0284365193204673
"Buffer",2016,0.0108050485602831,0.00331529883894673,0.0250333087382738
"Buffer",2017,0.00989791019277692,0.00249393288528025,0.0236419546302042
"Buffer",2018,0.0100064291366683,0.00244195066402996,0.0246334968327717
"Buffer",2019,0.01056891651212,0.00291479518325869,0.0254288845846503
"Buffer",2020,0.0212085858007194,0.00759970186723328,0.0390311805442655
"Buffer",2021,0.0252927496772367,0.0086442780887911,0.048319576084414
"Buffer",2022,0.0533926302858543,0.0233143135253377,0.0789072315070424
"Buffer",2023,0.0339574640993337,0.0130708859568856,0.0630078033907556
"Outside",2001,0.0205706705894877,0.006198485359821,0.0404367124395292
"Outside",2002,0.020986751616686,0.00596669826197411,0.0391936182389633
"Outside",2003,0.0132451428358108,0.00384476784609208,0.0282735778255879
"Outside",2004,0.0136014353272548,0.00324390784820502,0.0316601427799393
"Outside",2005,0.0144475157786694,0.00428835881377242,0.0285126747282771
"Outside",2006,0.013038124882972,0.00315961205802608,0.0266997434105918
"Outside",2007,0.0116149421607814,0.00277746493877294,0.0267196471552853
"Outside",2008,0.0131985053288691,0.00429624729369658,0.0276187975586407
"Outside",2009,0.0156831578936052,0.00442284597472509,0.0312831152269613
"Outside",2010,0.0250809689489196,0.0123397412155795,0.0367226324922034
"Outside",2011,0.0228308978855906,0.00946197777351703,0.0370242476548135
"Outside",2012,0.0196892409565477,0.00691645485834609,0.0362483822339544
"Outside",2013,0.0169982617754385,0.00485428864835967,0.0359038728073565
"Outside",2014,0.0183096888142783,0.00502785364073112,0.0357418956785181
"Outside",2015,0.0177530859260189,0.00459451458778459,0.0366335560385479
"Outside",2016,0.0161399562732768,0.0046915407025293,0.0344936249577277
"Outside",2017,0.0127651508823401,0.00327096656240817,0.0281097669436064
"Outside",2018,0.0150499020673303,0.00397194959475442,0.0356571048089007
"Outside",2019,0.0129175673406082,0.00272014559793887,0.0298796304749954
"Outside",2020,0.0126719669726277,0.00290787180450165,0.030858647792243
"Outside",2021,0.0199199839245879,0.00582292666320157,0.0377985163030691
"Outside",2022,0.0359373631729983,0.0195220334180438,0.0605581236217397
"Outside",2023,0.0279073496907529,0.0101534975630168,0.0543832322792703
