"Zone","Year","draw_id","delta"
"Core",2001,1,0.0322665731637462
"Core",2002,1,0.00987061234328413
"Core",2003,1,0.0231848160122235
"Core",2004,1,0.0196177237196054
"Core",2005,1,0.0144722451693292
"Core",2006,1,0.0172062140777804
"Core",2007,1,0.0138253228917148
"Core",2008,1,0.0155902159923837
"Core",2009,1,0.0221801670444193
"Core",2010,1,0.021971857918814
"Core",2011,1,0.0112346430520073
"Core",2012,1,0.0103899444856997
"Core",2013,1,0.0146400682012521
"Core",2014,1,0.0134049498118286
"Core",2015,1,0.0335182416708871
"Core",2016,1,0.00466850278772306
"Core",2017,1,0.0210935737031801
"Core",2018,1,0.011006535075432
"Core",2019,1,0.012715389176109
"Core",2020,1,0.014450960436988
"Core",2021,1,0.0339042298543639
"Core",2022,1,0.0501584080745664
"Core",2023,1,0.0244441075396843
"Buffer",2001,1,0.0296448725859471
"Buffer",2002,1,0.00906674400866121
"Buffer",2003,1,0.00994023742648946
"Buffer",2004,1,0.017287512585566
"Buffer",2005,1,0.0136304508673768
"Buffer",2006,1,0.0354203586232318
"Buffer",2007,1,0.0100069551125357
"Buffer",2008,1,0.0212020000759872
"Buffer",2009,1,0.0139002094672414
"Buffer",2010,1,0.0134940190644431
"Buffer",2011,1,0.0265285189817141
"Buffer",2012,1,0.00781805024487655
"Buffer",2013,1,0.00756473111559079
"Buffer",2014,1,0.0172782840377093
"Buffer",2015,1,0.00816322087696313
"Buffer",2016,1,0.0101469645584388
"Buffer",2017,1,0.0187829492870085
"Buffer",2018,1,0.0156568976239085
"Buffer",2019,1,0.00909007761791214
"Buffer",2020,1,0.0222059482847354
"Buffer",2021,1,0.0190614683719946
"Buffer",2022,1,0.0452715897364884
"Buffer",2023,1,0.038439838086345
"Outside",2001,1,0.0423038411361942
"Outside",2002,1,0.00485327202336535
"Outside",2003,1,0.0296279627347695
"Outside",2004,1,0.0341644156957791
"Outside",2005,1,0.0236349147550997
"Outside",2006,1,0.0116991479431179
"Outside",2007,1,0.013020563686212
"Outside",2008,1,0.0147025824422491
"Outside",2009,1,0.0175011694542545
"Outside",2010,1,0.0403193803443722
"Outside",2011,1,0.00932022636371891
"Outside",2012,1,0.0206149110163385
"Outside",2013,1,0.0108468332188411
"Outside",2014,1,0.0317049686936111
"Outside",2015,1,0.0251271554673081
"Outside",2016,1,0.010549351898021
"Outside",2017,1,0.0188111658946905
"Outside",2018,1,0.0151635201919843
"Outside",2019,1,0.0139906458711457
"Outside",2020,1,0.0128883899070971
"Outside",2021,1,0.0273153892548551
"Outside",2022,1,0.0189781500111292
"Outside",2023,1,0.0403941147891002
"Core",2001,2,0.0110624322806813
"Core",2002,2,0.0154139843315447
"Core",2003,2,0.0187827207915032
"Core",2004,2,0.0148413451777831
"Core",2005,2,0.019646073424218
"Core",2006,2,0.0105890663611172
"Core",2007,2,0.0266351132476565
"Core",2008,2,0.0187843655119706
"Core",2009,2,0.0162386998357889
"Core",2010,2,0.0180258960815844
"Core",2011,2,0.0155136805818305
"Core",2012,2,0.00820229764087275
"Core",2013,2,0.0198007385275155
"Core",2014,2,0.0230994448914745
"Core",2015,2,0.01421319583528
"Core",2016,2,0.0248620922472712
"Core",2017,2,0.0158257547157057
"Core",2018,2,0.0261742037578165
"Core",2019,2,0.0326418846672424
"Core",2020,2,0.00230060015468149
"Core",2021,2,0.0644224378161447
"Core",2022,2,0.0244461125528087
"Core",2023,2,0.0220791605649685
"Buffer",2001,2,0.00999444543322586
"Buffer",2002,2,0.00839145688840258
"Buffer",2003,2,0.0169965108862001
"Buffer",2004,2,0.0135083290949874
"Buffer",2005,2,0.00931953746235817
"Buffer",2006,2,0.0135686413010098
"Buffer",2007,2,0.0204028719334605
"Buffer",2008,2,0.0101021283393157
"Buffer",2009,2,0.0183728504975586
"Buffer",2010,2,0.0196891507301482
"Buffer",2011,2,0.0141821950430904
"Buffer",2012,2,0.00281196073900539
"Buffer",2013,2,0.0139688258011783
"Buffer",2014,2,0.00232721501527307
