"draw_id","Zone","n_increase","n_decrease","mean_inc_mag","mean_dec_mag"
1,"Core",225,377,0.147184202277855,0.324031199343016
1,"Buffer",212,397,0.160500701595197,0.292238732714545
1,"Outside",223,386,0.154525463340312,0.295052554651632
2,"Core",227,375,0.146829169233582,0.322720110001147
2,"Buffer",237,372,0.161685717410932,0.323927162096112
2,"Outside",220,390,0.14788042470168,0.31895504400222
3,"Core",212,386,0.154243042293782,0.322464091650453
3,"Buffer",203,406,0.155732135608783,0.301168972873265
3,"Outside",240,370,0.13326215963459,0.312230187742938
4,"Core",208,393,0.137291931960375,0.311434135179456
4,"Buffer",223,386,0.148347522058688,0.311951292053416
4,"Outside",213,396,0.152583522463232,0.293699155727221
5,"Core",212,391,0.159522149664324,0.323317272322576
5,"Buffer",204,403,0.15047172678199,0.296375559617439
5,"Outside",228,381,0.147717226775736,0.313156477390317
6,"Core",226,375,0.148542601850606,0.328605430833039
6,"Buffer",213,397,0.155966149567377,0.309959958138233
6,"Outside",210,399,0.144161159895276,0.303854804658728
7,"Core",205,399,0.165839862378904,0.29520051748454
7,"Buffer",208,399,0.150942607348214,0.325989520715644
7,"Outside",209,399,0.141870804497512,0.301482769704515
8,"Core",217,385,0.153990230466924,0.325939252411479
8,"Buffer",223,387,0.155085786838687,0.320562990216223
8,"Outside",225,383,0.144569775490307,0.320784054156587
9,"Core",222,377,0.148187449248988,0.292025249870756
9,"Buffer",221,387,0.133000820169079,0.315511947247001
9,"Outside",249,361,0.136233865559996,0.29438491127959
10,"Core",217,382,0.16976195184042,0.32867778579753
10,"Buffer",205,403,0.154327832742774,0.299274711531078
10,"Outside",224,385,0.142869051947988,0.333930940857579
11,"Core",236,365,0.143103095202155,0.336900895654088
11,"Buffer",213,397,0.130769932287009,0.317111242169685
11,"Outside",216,393,0.141400561076493,0.305799795641631
12,"Core",218,377,0.154472613187251,0.322644704127852
12,"Buffer",206,403,0.155180040393268,0.319403882789127
12,"Outside",220,389,0.161672870984971,0.312461094922514
13,"Core",217,385,0.143603410346776,0.322670150434465
13,"Buffer",210,399,0.161073147816246,0.314359425835109
13,"Outside",223,387,0.1567672074643,0.311964527292872
14,"Core",214,387,0.164973417021443,0.313045514218
14,"Buffer",204,404,0.158955089396043,0.314256401046593
14,"Outside",213,397,0.138477862426057,0.289310085692479
15,"Core",208,389,0.152244776865439,0.316023815693284
15,"Buffer",225,384,0.148055990310115,0.305182235608909
15,"Outside",225,385,0.167250343065686,0.307147791800462
16,"Core",222,379,0.149656786696344,0.320065751952379
16,"Buffer",213,396,0.151616519609032,0.316739752536264
16,"Outside",222,387,0.141961226297419,0.296756494287936
17,"Core",217,386,0.152527724578716,0.29515281721677
17,"Buffer",227,381,0.163961440239223,0.321944604007754
