"Zone","loss_median","loss_low","loss_high","gain_median","gain_low","gain_high"
"Core",51.6898574888003,49.0707263943579,54.9128182694974,14.4505374738172,12.0233658662843,17.5126861866444
"Buffer",51.9006370527247,48.909912489333,54.5289122739036,13.2192196155181,10.8446085083939,16.0249591582151
"Outside",51.7746630401485,49.1752109571633,54.2769815375394,14.4121496324239,11.7764267744257,17.2468623365479
