"Zone","n_increase_median","n_increase_low","n_increase_high","n_decrease_median","n_decrease_low","n_decrease_high","mean_inc_mag_med","mean_inc_mag_low","mean_inc_mag_high","mean_dec_mag_med","mean_dec_mag_low","mean_dec_mag_high"
"Core",223,201.475,241.525,378,359,399.525,0.150474264884068,0.130233559174901,0.177832960411568,0.318485312183493,0.292780093793283,0.342821062157852
"Buffer",207,191,228,401,380.475,418,0.151667740973651,0.12953494483992,0.175545403384162,0.308590665034475,0.287906926709583,0.330456401440843
"Outside",223,204.475,241.525,387,368.475,405,0.14602294381196,0.128630224089901,0.168570981510378,0.305858164286736,0.284533079457681,0.324360268768621
