"Rarity","Zone","Year","gm_median","gm_low","gm_high"
"Rare","Core",2000,0.00223894369802924,0.000630844840375231,0.00754613308158373
"Rare","Core",2001,0.00281512170343207,0.00091267843345916,0.00784362749616524
"Rare","Core",2002,0.00325432903346106,0.00101502703249271,0.00778380194398028
"Rare","Core",2003,0.00344620294082826,0.00124623952182502,0.00805845957370744
"Rare","Core",2004,0.00309926974403122,0.00107955560948077,0.00775524493024065
"Rare","Core",2005,0.00362894415750539,0.00127157698853345,0.00938381817113627
"Rare","Core",2006,0.00322538975249944,0.00106275051053204,0.00780140684464621
"Rare","Core",2007,0.00293284689020986,0.00101611616126474,0.00731977834802066
"Rare","Core",2008,0.00308883493334412,0.00108502255264681,0.00709687702276778
"Rare","Core",2009,0.00341878966937761,0.00132400878980345,0.00754922106917784
"Rare","Core",2010,0.00429022279793834,0.00185741326834058,0.00890473818621346
"Rare","Core",2011,0.00537128291610408,0.00243071885577126,0.0097310953479738
"Rare","Core",2012,0.0052630118235533,0.00239952916944287,0.00951868134589018
"Rare","Core",2013,0.00519335804465995,0.00250201469561051,0.00935036951805522
"Rare","Core",2014,0.00603661617811625,0.00292503575839511,0.0104502903513096
"Rare","Core",2015,0.00691813729797705,0.00339872157398234,0.0115919864936338
"Rare","Core",2016,0.00779855827058125,0.00417416089956002,0.0122527298003812
"Rare","Core",2017,0.00785181425955604,0.00417333876020865,0.0127129696448033
"Rare","Core",2018,0.00977270810647602,0.00514892231187221,0.0154453814499931
"Rare","Core",2019,0.0127962176875331,0.00720147970721556,0.0198989223054247
"Rare","Core",2020,0.0136841111446416,0.00706822732104155,0.0239749117871643
"Rare","Core",2021,0.0110458201473476,0.00542637401777854,0.0182463291320271
"Rare","Core",2022,0.0109112083238273,0.0055975116591318,0.0186599306239276
"Rare","Core",2023,0.00887650333971803,0.00417831627736892,0.0160918266754332
"Rare","Buffer",2000,0.00953651987433971,0.00396413421115405,0.0198680885015179
"Rare","Buffer",2001,0.011373777880133,0.00548798321619903,0.0210208732325902
"Rare","Buffer",2002,0.0125358598429021,0.00599227291803527,0.022190928151718
"Rare","Buffer",2003,0.0133212544923925,0.00646734388570691,0.0239467982240438
"Rare","Buffer",2004,0.0155113583506638,0.00803722385640666,0.0249641492334225
"Rare","Buffer",2005,0.0161847895609162,0.00845560571904404,0.0266945945442448
"Rare","Buffer",2006,0.0171826622168417,0.00967189105333366,0.0278702646419023
"Rare","Buffer",2007,0.017902151781358,0.0104886332946837,0.0277540155068824
"Rare","Buffer",2008,0.0185667851890874,0.010550424672251,0.0283497363778772
"Rare","Buffer",2009,0.0186622078861465,0.0109371573369293,0.0270609832213143
"Rare","Buffer",2010,0.0179448348662779,0.0112003394370026,0.0254872941116502
"Rare","Buffer",2011,0.01745035722169,0.0102915647955226,0.024779158665417
"Rare","Buffer",2012,0.0191182590396487,0.0114166667246906,0.0259875929327924
"Rare","Buffer",2013,0.0196844740218899,0.0141724217887803,0.0263715922554509
"Rare","Buffer",2014,0.0215150158820027,0.0151872921660117,0.0276251758441951
"Rare","Buffer",2015,0.0232188720619985,0.0170436756423807,0.0294043604152222
"Rare","Buffer",2016,0.0234089344545949,0.0180224533525347,0.0286715966196451
"Rare","Buffer",2017,0.0288227022666481,0.0233592696559374,0.0347369615392642
"Rare","Buffer",2018,0.0378156593859782,0.0313702952780629,0.044379463188894
"Rare","Buffer",2019,0.0433555576050421,0.036509731539961,0.050872065452098
"Rare","Buffer",2020,0.0365062232754551,0.0299199466177622,0.043586161429853
"Rare","Buffer",2021,0.0313327167289663,0.0253812784738454,0.0381837753511475
"Rare","Buffer",2022,0.0305802778591997,0.0240309514551281,0.0376400704599387
"Rare","Buffer",2023,0.0319893091753455,0.0241289150919657,0.040251693024209
"Rare","Outside",2000,0.0148915857367785,0.00734125075970687,0.0256794118960551
"Rare","Outside",2001,0.0153940867271507,0.00817984734683423,0.0256637600738953
"Rare","Outside",2002,0.016004687642262,0.00896823438564616,0.0245620805783227
"Rare","Outside",2003,0.0162539331763339,0.00922180495214235,0.0254705250587465
"Rare","Outside",2004,0.0175517549254442,0.0102788934833693,0.0255787921804388
"Rare","Outside",2005,0.0180023233080887,0.0120025197096514,0.0265292409627667
"Rare","Outside",2006,0.0178657147130829,0.0116746457723875,0.025404110452403
"Rare","Outside",2007,0.0193230022901773,0.0127349671749069,0.0268881120304206
"Rare","Outside",2008,0.0212526139960551,0.0144170506986013,0.0293670040417801
"Rare","Outside",2009,0.0236109054745706,0.0169148648992828,0.0318110842234031
"Rare","Outside",2010,0.0250228467000768,0.0183563604449234,0.0322636700639177
"Rare","Outside",2011,0.0268966946104581,0.0204768423039956,0.03437562032085
"Rare","Outside",2012,0.0293386661626418,0.0233359002939483,0.0360334804472557
"Rare","Outside",2013,0.0305550311716656,0.0243669317533263,0.0371431943470883
"Rare","Outside",2014,0.0297996405340719,0.023830633855049,0.0363140766811379
"Rare","Outside",2015,0.0282770444809297,0.0204198657597778,0.0355755885682051
"Rare","Outside",2016,0.0314421537107066,0.0254624613446489,0.0374715368155867
