"Rarity","Zone","growth_median","growth_low","growth_high"
"Rare","Core",2.77152882101481,-1.12857460600823,6.58537724887536
"Rare","Buffer",2.92534672590232,0.785189482547593,5.4821333831767
"Rare","Outside",3.66901496527234,1.43105106353458,6.00003070251703
"Common","Core",-2.76080327832743,-4.41659797928161,-1.37651576642538
"Common","Buffer",-2.77854593635762,-4.16126128804103,-1.54035649758652
"Common","Outside",-2.93701524846922,-4.2257684539243,-1.55555868218811
