"Guild","Zone","Year","n_species","comp_median","comp_low","comp_high"
"Ants","Core",2000,3,0.0214444699688047,0.000813941683102521,0.117648245667104
"Ants","Core",2001,3,0.0266076853730652,0.00227872214048585,0.12369504262949
"Ants","Core",2002,3,0.0387830685955133,0.00450889868925459,0.136266759106963
"Ants","Core",2003,3,0.0276202646257593,0.00196274006626757,0.111637455398882
"Ants","Core",2004,3,0.025452073967886,0.0018564069837884,0.110317555253414
"Ants","Core",2005,3,0.0216856615074966,0.00156981267919287,0.10239537969439
"Ants","Core",2006,3,0.0217125898969286,0.00135028996212114,0.102421409213161
"Ants","Core",2007,3,0.0217949666790869,0.00158602310808717,0.0849927436756674
"Ants","Core",2008,3,0.0199994448549448,0.00170528758370613,0.0948857156323504
"Ants","Core",2009,3,0.0227745981347946,0.00274381525347928,0.0779183073482491
"Ants","Core",2010,3,0.0248050219521559,0.00265098677848237,0.0814723306576487
"Ants","Core",2011,3,0.0178529360658184,0.0020561573337129,0.0573642907015506
"Ants","Core",2012,3,0.0149700045133367,0.00167178825981908,0.0484963181642699
"Ants","Core",2013,3,0.0141227592270688,0.00179694247914367,0.0451797403695027
"Ants","Core",2014,3,0.0168406025967422,0.00276565028589045,0.0478923221609274
"Ants","Core",2015,3,0.0164006027108237,0.00251354751462195,0.0496030356484587
"Ants","Core",2016,3,0.024416357192579,0.0068380447744308,0.0513962798844743
"Ants","Core",2017,3,0.0204820470589895,0.00308021047962472,0.0539723763350798
"Ants","Core",2018,3,0.0206527738348593,0.00359221499829164,0.0562025945205679
"Ants","Core",2019,3,0.0137323678832154,0.00203365519472637,0.0448771833743726
"Ants","Core",2020,3,0.0165494416680209,0.00248716989142641,0.0501280584105827
"Ants","Core",2021,3,0.0112786042535786,0.000916548821697288,0.0446765072494253
"Ants","Core",2022,3,0.00932976496519155,0.000706600623117446,0.0437998072368787
"Ants","Core",2023,3,0.00864507906711607,0.000625242356234039,0.0434010667997832
"Ants","Buffer",2000,3,0.0319912414970341,0.00237345095351798,0.137825648402884
"Ants","Buffer",2001,3,0.0362537044025223,0.00376335763578829,0.135748851939917
"Ants","Buffer",2002,3,0.0587559841354101,0.00954686571993708,0.172217807445677
"Ants","Buffer",2003,3,0.0372011265743516,0.00439461266428778,0.128647398888659
"Ants","Buffer",2004,3,0.0303045520592682,0.00301137545340171,0.104170527748614
"Ants","Buffer",2005,3,0.0266487750051428,0.00406873146956599,0.0959194495401579
"Ants","Buffer",2006,3,0.0245058901347837,0.00306532776588441,0.0866005728643073
"Ants","Buffer",2007,3,0.0252064235241855,0.00373423077746875,0.0853591881297055
"Ants","Buffer",2008,3,0.029938207649779,0.0062417027234272,0.0843273831512976
"Ants","Buffer",2009,3,0.0293755040681423,0.00794012838192081,0.0733995063667113
"Ants","Buffer",2010,3,0.0252218366631225,0.00587289180976981,0.069131861514591
"Ants","Buffer",2011,3,0.0316905955763241,0.00847957836601349,0.0794243146998349
"Ants","Buffer",2012,3,0.0282675247269008,0.00770131465785847,0.0706940285717101
"Ants","Buffer",2013,3,0.0258570869433562,0.00761911516094004,0.0647588986668546
"Ants","Buffer",2014,3,0.0190531382037276,0.00517854732520171,0.0512139917511394
"Ants","Buffer",2015,3,0.0243925218220376,0.00743645677214788,0.0548186867425003
"Ants","Buffer",2016,3,0.029650367177743,0.0123994223458159,0.0596980115124839
"Ants","Buffer",2017,3,0.0379374906543943,0.0153479766221775,0.0763371775590146
"Ants","Buffer",2018,3,0.0630947580834855,0.0252587350094272,0.114813027823719
"Ants","Buffer",2019,3,0.0625927764575703,0.0253115032730087,0.120206199960034
"Ants","Buffer",2020,3,0.0339074614933821,0.010078054994308,0.0722553160764194
"Ants","Buffer",2021,3,0.0175202841259095,0.00263788694492907,0.0487010504629661
"Ants","Buffer",2022,3,0.0146077401669873,0.00191351596995655,0.0440405580801511
"Ants","Buffer",2023,3,0.0186482911846613,0.0016133810280213,0.0630124522035834
"Ants","Outside",2000,3,0.0311053462930109,0.00401945584358535,0.11070747382917
"Ants","Outside",2001,3,0.033815483335922,0.00720941475142184,0.0959113875654067
"Ants","Outside",2002,3,0.0313143014623572,0.00825429725314593,0.0859933689606952
"Ants","Outside",2003,3,0.0275541521696844,0.00545529453521469,0.0744408152813289
"Ants","Outside",2004,3,0.0283256751920312,0.00645269080474092,0.0766337505530107
"Ants","Outside",2005,3,0.0304025932560633,0.00645390685386111,0.0792992939449257
"Ants","Outside",2006,3,0.0317776472216353,0.00893341673040101,0.07602975912713
"Ants","Outside",2007,3,0.03997547925383,0.0133644133209345,0.0881036354196256
"Ants","Outside",2008,3,0.0517697332403861,0.019886406336752,0.104343298661843
"Ants","Outside",2009,3,0.0569475037486977,0.0223420479006616,0.112590485714322
"Ants","Outside",2010,3,0.0529859281911637,0.0213253298800005,0.104379708359576
"Ants","Outside",2011,3,0.0461755242272032,0.0171418974226488,0.098258926485637
"Ants","Outside",2012,3,0.0569132184419946,0.0199938922693128,0.117512088766979
"Ants","Outside",2013,3,0.053472271143545,0.0190452040241654,0.109305837015891
"Ants","Outside",2014,3,0.0418711881458444,0.0159474540490888,0.0803494988519939
"Ants","Outside",2015,3,0.0368656184783052,0.0156102319051976,0.0781368601593879
"Ants","Outside",2016,3,0.0375289836768202,0.017820218167883,0.0691330773542162
"Ants","Outside",2017,3,0.0254876294875917,0.010083537813819,0.0497986362088967
"Ants","Outside",2018,3,0.0202909711655903,0.00850194140836063,0.0420780534662698
"Ants","Outside",2019,3,0.0202750651453856,0.00675758323719053,0.0432629808417636
"Ants","Outside",2020,3,0.0236370492916143,0.00810077033394572,0.049183396535541
"Ants","Outside",2021,3,0.0305755907268325,0.011140597970731,0.0602721794148244
"Ants","Outside",2022,3,0.0288400781044786,0.00703735021449101,0.0719772461192222
"Ants","Outside",2023,3,0.0289174889565765,0.00713569831769976,0.0694716972062268
"Bumblebees","Core",2000,5,0.00776967104137309,0.000607853142217649,0.0475357632885489
"Bumblebees","Core",2001,5,0.00915845740348951,0.000692821400499845,0.0431617555746052
"Bumblebees","Core",2002,5,0.00958301059503461,0.000972571927920839,0.042131392801582
"Bumblebees","Core",2003,5,0.0115592197445069,0.0014807051806741,0.0423074271475199
"Bumblebees","Core",2004,5,0.0155924362782248,0.00224331057570668,0.0497945613345154
"Bumblebees","Core",2005,5,0.0189286406787299,0.00334153981875749,0.06099091561983
"Bumblebees","Core",2006,5,0.0246054897160839,0.00620161332466691,0.0637606359730373
"Bumblebees","Core",2007,5,0.0256460807971486,0.00570023277594684,0.0688216256240859
"Bumblebees","Core",2008,5,0.0287433675329473,0.00727206425743079,0.0727441360937193
"Bumblebees","Core",2009,5,0.0323951412852842,0.0110492902136727,0.0718936139161216
"Bumblebees","Core",2010,5,0.036509846797542,0.0125887638479296,0.0724369851878382
"Bumblebees","Core",2011,5,0.0411795378510201,0.0173029783325246,0.0778120307517842
"Bumblebees","Core",2012,5,0.0610753105022556,0.0331834253604516,0.101132360693698
"Bumblebees","Core",2013,5,0.0443357954646335,0.0223959077322833,0.0810019138253972
"Bumblebees","Core",2014,5,0.0512585060885997,0.0264408996864382,0.0898227246406829
"Bumblebees","Core",2015,5,0.0513973239124534,0.0256757102874231,0.0856178419769842
"Bumblebees","Core",2016,5,0.0576948087746544,0.0369028677932186,0.0827334754616372
"Bumblebees","Core",2017,5,0.0654257165325578,0.0472039424756058,0.0859387664271966
"Bumblebees","Core",2018,5,0.0990176515879108,0.0749296106165253,0.12630421466964
"Bumblebees","Core",2019,5,0.100859147421142,0.0616452558331099,0.149039841700373
"Bumblebees","Core",2020,5,0.114398442611561,0.0646708984359666,0.184287732890427
"Bumblebees","Core",2021,5,0.0727335874914216,0.0273508322338743,0.13450099494582
"Bumblebees","Core",2022,5,0.0641905319082638,0.0238494399460078,0.121720021006765
"Bumblebees","Core",2023,5,0.0490324497263959,0.0159162701335429,0.110205971713235
"Bumblebees","Buffer",2000,5,0.00215331792589766,0.000151617161400189,0.0191552366667313
"Bumblebees","Buffer",2001,5,0.00292979885534328,0.000246767018066146,0.0189529763608489
"Bumblebees","Buffer",2002,5,0.00373943719728965,0.000337197064015513,0.0178932481335349
