"Guild","Zone","Year","n_species","comp_median","comp_low","comp_high"
"Ants","Core",2000,20,0.0599196465446122,0.0193811704526731,0.185837599610951
"Ants","Core",2001,20,0.0723097545774025,0.0224918185173655,0.187957653587566
"Ants","Core",2002,20,0.0866804927801485,0.0295111191762581,0.219240671931539
"Ants","Core",2003,20,0.0775038499932178,0.0250243305178703,0.192322942553756
"Ants","Core",2004,20,0.0720857119032639,0.0259378246127842,0.191268144111167
"Ants","Core",2005,20,0.0716993569618799,0.0260646399302584,0.18377694646233
"Ants","Core",2006,20,0.0699534661939147,0.0230146598617049,0.182041912527452
"Ants","Core",2007,20,0.0688197536165584,0.0240951616559975,0.17027162480577
"Ants","Core",2008,20,0.0712904803252598,0.0241430612638448,0.174288566830681
"Ants","Core",2009,20,0.071780454373096,0.0278633602687135,0.158137677340192
"Ants","Core",2010,20,0.0893642076537915,0.0370131370697085,0.184821172147434
"Ants","Core",2011,20,0.0548649770721874,0.0206437558831469,0.135112805487621
"Ants","Core",2012,20,0.0375912217189684,0.0136724118217524,0.09545118677613
"Ants","Core",2013,20,0.0313955000357013,0.00865731255648099,0.082719564061681
"Ants","Core",2014,20,0.028190286339997,0.00946569137989357,0.0748980507620441
"Ants","Core",2015,20,0.0291900350745375,0.00895060497076184,0.0788610988233068
"Ants","Core",2016,20,0.0337565442651921,0.00971124676328464,0.0863892397156843
"Ants","Core",2017,20,0.0250350053975598,0.00820523218669072,0.0668542785789449
"Ants","Core",2018,20,0.0299250895057864,0.00976334476118149,0.0807237764367345
"Ants","Core",2019,20,0.0282224298845284,0.00857903678243565,0.0721424567165561
"Ants","Core",2020,20,0.0207422546636045,0.00583661587928107,0.0588912813504436
"Ants","Core",2021,20,0.0105027616050658,0.00237370964011933,0.0363912561573247
"Ants","Core",2022,20,0.00751226634000754,0.00158443925215891,0.0287841965909492
"Ants","Core",2023,20,0.00553932368268046,0.00106302025731051,0.0250245607382405
"Ants","Buffer",2000,20,0.0375617177177534,0.0109704819007781,0.114392205661143
"Ants","Buffer",2001,20,0.0423321320940199,0.011935602636745,0.126675980893204
"Ants","Buffer",2002,20,0.0541707225080302,0.0159683693425852,0.150258077829634
"Ants","Buffer",2003,20,0.0520921132154001,0.0165566192336431,0.139740674099441
"Ants","Buffer",2004,20,0.0557009801093785,0.0177784547537484,0.143340060655488
"Ants","Buffer",2005,20,0.056915934915931,0.0184584875180956,0.142465631759722
"Ants","Buffer",2006,20,0.0613610469848673,0.0215244003693035,0.14891065810257
"Ants","Buffer",2007,20,0.0792676570045186,0.0296323564474435,0.16633722843679
"Ants","Buffer",2008,20,0.111737322218815,0.0491493705584971,0.212517249164035
"Ants","Buffer",2009,20,0.0945955775329213,0.0387295032486043,0.188400218336401
"Ants","Buffer",2010,20,0.0811456800655835,0.0341544823753726,0.166512337978596
"Ants","Buffer",2011,20,0.0737482205216137,0.0290674866299297,0.148661131892991
"Ants","Buffer",2012,20,0.0887291794478992,0.0394318315796836,0.165104151208353
"Ants","Buffer",2013,20,0.101236673518948,0.0459351051989065,0.188308223526942
"Ants","Buffer",2014,20,0.074833253717578,0.031184312615884,0.142587277030113
"Ants","Buffer",2015,20,0.0774131179254912,0.0331769778163888,0.139517416121262
"Ants","Buffer",2016,20,0.0846598607376944,0.0367464435825148,0.15860188082109
"Ants","Buffer",2017,20,0.0952920535873614,0.0405514462817026,0.181461650888429
"Ants","Buffer",2018,20,0.107671815045239,0.0421673578334854,0.205152259473483
"Ants","Buffer",2019,20,0.101122438838005,0.043261038703154,0.188295214767399
"Ants","Buffer",2020,20,0.056957309428397,0.0215225584572126,0.12435301084288
"Ants","Buffer",2021,20,0.0276538303880693,0.00945910992465558,0.068994735804156
"Ants","Buffer",2022,20,0.0208970444671365,0.00645798042724267,0.0551530140715627
"Ants","Buffer",2023,20,0.0144288788227773,0.00393845581350013,0.0479391794933014
"Ants","Outside",2000,20,0.0296975283631553,0.00753143056985802,0.101036674504426
"Ants","Outside",2001,20,0.0371378903778702,0.0104689653643581,0.107087212216676
"Ants","Outside",2002,20,0.0389490471276017,0.00874110384896797,0.107879275980671
"Ants","Outside",2003,20,0.0360954348706358,0.00985104258363303,0.0932606765997245
"Ants","Outside",2004,20,0.0345601713997687,0.00975646213441764,0.0883240658994557
"Ants","Outside",2005,20,0.0406508956865362,0.012939202884247,0.0963534743365381
"Ants","Outside",2006,20,0.0435172671992964,0.0142011569890402,0.103715924846576
"Ants","Outside",2007,20,0.056896245092505,0.0201052287508493,0.116561223619014
"Ants","Outside",2008,20,0.0876705049441274,0.0390334560745473,0.155430240425941
"Ants","Outside",2009,20,0.111964426186385,0.0520962345898536,0.192651660491847
"Ants","Outside",2010,20,0.0872602598425548,0.0374616871588285,0.15740250590071
"Ants","Outside",2011,20,0.0635980413495179,0.0263269802939606,0.131162914174427
"Ants","Outside",2012,20,0.0657821383045526,0.0267317447169277,0.137557208639916
"Ants","Outside",2013,20,0.0638723800867726,0.0252274406847426,0.124993111051307
"Ants","Outside",2014,20,0.0578459322636418,0.0238548373551083,0.115850782981287
"Ants","Outside",2015,20,0.075925863111744,0.0323100480037312,0.135391198391735
