"Guild","Zone","n_species_common","growth_median","growth_low","growth_high"
"Ants","Core",3,-4.08272413539659,-18.4038841178146,12.0906056215092
"Ants","Buffer",3,-2.40030474786892,-13.4703237416544,10.5242389916132
"Ants","Outside",3,-0.504924536413709,-8.33870920482735,9.92827471416969
"Bumblebees","Core",5,8.10543314416203,-0.639648624878179,21.2941583082964
"Bumblebees","Buffer",5,11.249157409071,-0.131044125069799,25.9113070930823
"Bumblebees","Outside",5,12.0868652997365,0.07664425859692,26.9589335021359
"Butterflies","Core",108,-0.463613040669053,-1.50148607876909,0.60204000805259
"Butterflies","Buffer",108,-2.25547955954644,-2.90527362350081,-1.59634226914824
"Butterflies","Outside",108,-1.90423235986307,-2.46928694197562,-1.2872829952449
"Honey Bees","Core",1,12.3150257223691,1.55771230316826,40.6532675666057
"Honey Bees","Buffer",1,16.8582296280174,7.13077999030199,42.3144992634895
"Honey Bees","Outside",1,16.8242678544238,6.18384788037603,42.5955495042108
"Hoverflies","Core",3,8.84831106649642,-2.59535700041079,25.1324016193792
"Hoverflies","Buffer",3,12.9051228120177,3.09898209648475,26.9008912948651
"Hoverflies","Outside",3,11.2924980878534,3.78917524646937,23.819157940607
"Moths","Core",56,-2.96103030183321,-6.32396289551061,0.199090579005983
"Moths","Buffer",56,-1.30674185964168,-3.07594378461267,0.630187625126468
"Moths","Outside",56,-0.88070672763968,-2.86246181492749,1.11691963240127
"Other Flies","Core",1,9.45708248405353,-16.9744349550085,47.7198247264981
"Other Flies","Buffer",1,1.57345402032336,-5.96485461656129,14.5238234071633
"Other Flies","Outside",1,8.94169059777063,-1.66157310890966,38.7109213407187
"Social Wasps","Core",2,13.8601859467995,-1.47986319165002,41.9176511265573
"Social Wasps","Buffer",2,13.189417724965,3.07516630594153,37.944403699161
"Social Wasps","Outside",2,8.69737894334204,1.75023523300591,24.8722760973446
"Wild Bees","Core",2,6.3438865038679,-6.21985061229948,29.7775684859101
"Wild Bees","Buffer",2,14.3405742451042,2.04972902101293,37.5244375084479
"Wild Bees","Outside",2,6.32174053531123,0.28665120601005,17.9885480809369
