"Zone","abs_median","abs_hdi_low","abs_hdi_high","n.x","pct_median","pct_hdi_low","pct_hdi_high","n.y"
"Core",-0.0212570739383477,-0.035411171387751,-0.00595665022463882,999,-41.0960118038154,-61.0587682165715,-20.8919638244155,999
"Buffer",-0.0411810503782082,-0.0637324480530437,-0.0193455655172037,999,-33.957246665588,-46.5940219089812,-19.3581747485066,999
"Outside",-0.0294470742068901,-0.0503500445853029,-0.00891115398262445,999,-26.6288438278566,-40.678158251742,-10.1310161411125,999
