"Zone","Year","gm_median","gm_low","gm_high"
"Core",2000,0.0515216821819944,0.0413236332913109,0.0653241342626475
"Core",2001,0.0548350646442767,0.0445316249614559,0.0677725769315079
"Core",2002,0.0586767659394684,0.0476703514159129,0.0717918191982241
"Core",2003,0.0604168722905363,0.0492459405141677,0.0735312946868711
"Core",2004,0.0592293256729176,0.0481155227055549,0.0724605936971762
"Core",2005,0.0606248848723266,0.048485343469319,0.0731177588268294
"Core",2006,0.0577519751622949,0.0472594331764274,0.0703949915703749
"Core",2007,0.0555279340974815,0.0449547662054603,0.0676495391772737
"Core",2008,0.053798626902608,0.0439745274318895,0.0657965070155347
"Core",2009,0.0526744808672036,0.0442172741087791,0.0637602520231748
"Core",2010,0.0551473679340188,0.0465230599448678,0.066072662846901
"Core",2011,0.0523630371850936,0.044175476838907,0.063441209302175
"Core",2012,0.051622172771618,0.0421705735277159,0.0611999396933794
"Core",2013,0.0500197952862012,0.0416467375330374,0.0594978830308095
"Core",2014,0.0495301109575896,0.0415317943497168,0.058300653754874
"Core",2015,0.0504384934489092,0.0423445628550532,0.0596581761033802
"Core",2016,0.0511811213166868,0.0430779388769691,0.0599050257161664
"Core",2017,0.0485055062184617,0.0411010644577246,0.0573368241118457
"Core",2018,0.0517264560068099,0.0437521393145622,0.0603609598748804
"Core",2019,0.0578883306651659,0.0488825555994772,0.0678124390308579
"Core",2020,0.0650724192202654,0.0554524695197202,0.0748937599082486
"Core",2021,0.0486531624860686,0.039841131272949,0.0578370104639738
"Core",2022,0.0384633858362202,0.0309785918603196,0.0462770502649802
"Core",2023,0.0305831898395348,0.0243380667081815,0.0379743284657128
"Buffer",2000,0.121584404774051,0.104733794605274,0.14173619596864
"Buffer",2001,0.128821307748542,0.110389003423362,0.148930460280569
"Buffer",2002,0.134569312079464,0.116434142734728,0.154784959291156
"Buffer",2003,0.141099792563443,0.124439598534831,0.161347011642864
"Buffer",2004,0.147477979926133,0.129925011194165,0.165703770758313
"Buffer",2005,0.152045476736336,0.133244446259902,0.170381608980042
"Buffer",2006,0.149680921386969,0.13143961242738,0.166662639673923
"Buffer",2007,0.148010689111362,0.13172190416256,0.163444013184116
"Buffer",2008,0.143531152734687,0.128390571444699,0.159005856754767
"Buffer",2009,0.134844521932921,0.121148789534709,0.148573914109942
"Buffer",2010,0.126619701511444,0.114124320619204,0.139371098924603
"Buffer",2011,0.12113658881501,0.108620516964374,0.133080200794328
"Buffer",2012,0.119208776742968,0.108038853249759,0.131230695333557
"Buffer",2013,0.119904094171593,0.108184909445054,0.130939359145991
"Buffer",2014,0.122906319039233,0.112328122386004,0.134247568985114
"Buffer",2015,0.123662063035796,0.111976549892498,0.135142818310642
"Buffer",2016,0.126354411576585,0.114524371616052,0.136540161392187
"Buffer",2017,0.133376638138309,0.122369160533762,0.144729488528975
"Buffer",2018,0.139663204245886,0.128312763248374,0.151863737627746
"Buffer",2019,0.140650873054269,0.128271339869913,0.152317936356224
"Buffer",2020,0.122474668085662,0.109730368869462,0.134823005499513
"Buffer",2021,0.102620405375213,0.090785010699807,0.114037513156826
"Buffer",2022,0.0900179158714058,0.0794494342684964,0.10158447809816
"Buffer",2023,0.0803865121485173,0.0692573905830416,0.091470128910445
"Outside",2000,0.111202095703436,0.0952014689122504,0.130038919689162
"Outside",2001,0.116512637449936,0.100479379845853,0.134052628929184
"Outside",2002,0.120812124322872,0.105059715062874,0.138165132513454
"Outside",2003,0.124984043052553,0.110026301342842,0.141238313647732
"Outside",2004,0.128882492289131,0.113166845627554,0.144745353238935
"Outside",2005,0.130847159724607,0.116742236065237,0.145749411474337
"Outside",2006,0.131207849866715,0.11725882286867,0.145821704167594
"Outside",2007,0.13392289500596,0.118891790918356,0.146609283436343
"Outside",2008,0.135415280083411,0.120799510732556,0.148499091099813
"Outside",2009,0.136414592171368,0.123563976058595,0.149136877411438
"Outside",2010,0.122293557993167,0.110761350519911,0.134150235310866
"Outside",2011,0.115337224329342,0.104455874495419,0.126806122490938
"Outside",2012,0.109266084735875,0.0986909727842015,0.119874502589401
"Outside",2013,0.108172904201646,0.0982314552458862,0.118805664936837
"Outside",2014,0.10413455500221,0.094069947586149,0.114021208126127
"Outside",2015,0.102048842252543,0.0930380621651766,0.112098625054239
"Outside",2016,0.107989563876731,0.0977951292078594,0.117037757684134
"Outside",2017,0.107501594640687,0.0977366500178994,0.116482671803902
"Outside",2018,0.103695309730976,0.094883744719004,0.112471573000344
"Outside",2019,0.10479719567338,0.0958967790892743,0.114568013126833
"Outside",2020,0.10208383808301,0.0918433148752764,0.111325605775587
"Outside",2021,0.095342221169799,0.0855246175669764,0.10580352971613
"Outside",2022,0.0892812134632121,0.0798511714588124,0.099469030128407
"Outside",2023,0.0818921397498017,0.0712961249386581,0.0919085508603157
