"Zone","Year","gm_median","gm_low","gm_high"
"Core",2000,0.134058989226801,0.0976120432333247,0.17523304068289
"Core",2001,0.146042438976774,0.111582322716696,0.182468558060933
"Core",2002,0.151041782946063,0.116251479628909,0.186968243365799
"Core",2003,0.152604176046489,0.11846343795049,0.187528973838768
"Core",2004,0.149849753154001,0.11580515488738,0.184957708056974
"Core",2005,0.149564764067853,0.117547359636192,0.181655415645419
"Core",2006,0.153819993704699,0.120732309493529,0.182727793923031
"Core",2007,0.151570307476392,0.121595905625874,0.181258194019399
"Core",2008,0.148481307989019,0.119977285520321,0.175748222245134
"Core",2009,0.151363528537226,0.123086019912981,0.175709258593346
"Core",2010,0.152072224908787,0.126711202467758,0.174217769732889
"Core",2011,0.151566660564327,0.129186612862349,0.173210251279949
"Core",2012,0.154247757310333,0.132042136502076,0.175603624018716
"Core",2013,0.153969250639665,0.1300241064966,0.172817817821526
"Core",2014,0.151357625963793,0.128013103801669,0.171859681681253
"Core",2015,0.15896363139619,0.13845425548612,0.178028655123446
"Core",2016,0.160165396581211,0.140797212769951,0.177973740686753
"Core",2017,0.165506649572201,0.14770086148398,0.182241357743269
"Core",2018,0.170814425338743,0.153919081190661,0.18795967486286
"Core",2019,0.186663497822839,0.16780499756834,0.203475616203299
"Core",2020,0.186821846965788,0.165375861331738,0.20665761178231
"Core",2021,0.165454061274965,0.144543171088468,0.18458085997979
"Core",2022,0.145248150634881,0.124153402889701,0.162838868125072
"Core",2023,0.129584094329334,0.110393495921644,0.149286876313917
"Buffer",2000,0.19263191289319,0.155960356907943,0.226883906957798
"Buffer",2001,0.205440993569391,0.169654073906284,0.237668694042859
"Buffer",2002,0.210204721086921,0.17868560281191,0.239896722802773
"Buffer",2003,0.210251989009,0.182318990767712,0.236911287788476
"Buffer",2004,0.206096860805035,0.180556983699664,0.231091220813889
"Buffer",2005,0.201702332282229,0.177902616105742,0.225441485706124
"Buffer",2006,0.204071863088141,0.182353521335682,0.226861397692219
"Buffer",2007,0.206589309092727,0.185520055261187,0.225280170402386
"Buffer",2008,0.203326839182212,0.181920620649691,0.221821362531058
"Buffer",2009,0.201757771463991,0.179764289585063,0.220989048544658
"Buffer",2010,0.195808373410285,0.179346455534187,0.211401264150978
"Buffer",2011,0.191213023130679,0.175998325781667,0.205770073598193
"Buffer",2012,0.18359566322463,0.169748046001921,0.197600402030852
"Buffer",2013,0.182601486188589,0.169664399553892,0.196457110337052
"Buffer",2014,0.191862842158641,0.177475402254438,0.204796247347337
"Buffer",2015,0.189107270208244,0.176501969367441,0.200629195399717
"Buffer",2016,0.191223238676578,0.179554384939596,0.203121962828816
"Buffer",2017,0.213067638990748,0.200450433582353,0.224409648608612
"Buffer",2018,0.219684555493406,0.20776357630386,0.231316997704621
"Buffer",2019,0.236344854559344,0.224592519211787,0.249193180442181
"Buffer",2020,0.216855574823436,0.203619914555337,0.229243818138833
"Buffer",2021,0.198029523237429,0.18486192996885,0.210269345626337
"Buffer",2022,0.169736684202064,0.155840337931542,0.182576697021916
"Buffer",2023,0.153188961381556,0.140287330040302,0.166955011424018
"Outside",2000,0.17919402535815,0.145046434627586,0.210761579918173
"Outside",2001,0.184972616835076,0.155720916869027,0.214847134419869
"Outside",2002,0.190703499849397,0.165353207351057,0.214943311157079
"Outside",2003,0.192216610682985,0.16922347080093,0.217008645707073
"Outside",2004,0.196508356468432,0.174301277105493,0.218544417883983
"Outside",2005,0.205735758175027,0.183457257342956,0.226203546376333
"Outside",2006,0.212077476559532,0.191843080560971,0.233141837372371
"Outside",2007,0.211617268083918,0.192901313873451,0.229073724573409
"Outside",2008,0.202716774817404,0.184468095899577,0.221543440714953
"Outside",2009,0.191223133701526,0.175977888774415,0.206044188358361
"Outside",2010,0.177494547988299,0.1638416506587,0.190902572197302
"Outside",2011,0.170837068606233,0.156767869624042,0.183653782922938
"Outside",2012,0.167913207738692,0.154348978330294,0.18137143411403
"Outside",2013,0.16211871855115,0.149194162334204,0.173582063505012
"Outside",2014,0.168342988320226,0.155268318555293,0.180204337044854
"Outside",2015,0.173378527139222,0.160194269138936,0.185608320884602
"Outside",2016,0.177090411494295,0.165839204191976,0.188409739974218
"Outside",2017,0.192893207130811,0.181663767135324,0.203801491921888
"Outside",2018,0.193620352188261,0.181419592395236,0.205493514463117
"Outside",2019,0.204379276508266,0.192668915596945,0.216208348860698
"Outside",2020,0.208155143030645,0.195653242562943,0.219225696861279
"Outside",2021,0.19418818445406,0.182780845631911,0.205669172518296
"Outside",2022,0.170759115538959,0.160094226633099,0.181521144537922
"Outside",2023,0.164121819277422,0.150442632928714,0.175771688988651
