"Zone","growth_median","growth_low","growth_high"
"Core",-2.274862238261,-3.6976483086665,-0.829590923762306
"Buffer",-1.78760275457597,-2.67593025728126,-0.908620318982824
"Outside",-1.33723628486365,-2.19822761373687,-0.412892957702297
