"Year","gm_median","gm_low","gm_high"
2000,0.0886321615083231,0.0803118813331748,0.0985193797087767
2001,0.0937260965066824,0.0841462920100855,0.103959237703121
2002,0.0982083807772988,0.0897583185676109,0.107732087497851
2003,0.102347196210219,0.0933903494964191,0.111715785543928
2004,0.103903124584445,0.0944039804682648,0.113979335739872
2005,0.106174596523286,0.096546568002223,0.115236597461573
2006,0.104319778088029,0.0955085661902259,0.113079241040281
2007,0.103040060815895,0.094090964346716,0.112024325348098
2008,0.101426249153058,0.0933217155806373,0.110172401831067
2009,0.0988404543663088,0.0916990997846153,0.107143016168112
2010,0.0949550402221615,0.0882924222781973,0.102253022536172
2011,0.089975530894621,0.0835726156876192,0.0973027432683484
2012,0.087415867119851,0.080432354164647,0.0939034063247983
2013,0.0863946426069521,0.0803511949477688,0.0929457541102502
2014,0.0858442148101864,0.0796955360491226,0.0923523207851549
2015,0.0859223460514387,0.0798259141332473,0.0923717245574663
2016,0.0885445673830724,0.0822294613016154,0.0942901845384613
2017,0.0884656386987871,0.0822979743629666,0.0948838896568678
2018,0.0908346432251634,0.0846978455317757,0.0967374743026203
2019,0.0948583236468868,0.0880240744281929,0.10105016401198
2020,0.0930000641669774,0.086869887613996,0.0994684086657456
2021,0.0779997152459286,0.0713761235060921,0.0842684880991498
2022,0.0675150299107247,0.0621910542798341,0.0736369866294367
2023,0.058544516857373,0.0527753451229876,0.0647836169954032
