"Zone","Year","gm_median","gm_hdi_low","gm_hdi_high","n"
"Core",2000,0.0515216821819944,0.0415580911493453,0.0656269798572697,999
"Core",2001,0.0548350646442767,0.0434607386392332,0.0661057328248762,999
"Core",2002,0.0586767659394684,0.0484915574776614,0.0724399016666296,999
"Core",2003,0.0604168722905363,0.049060936770875,0.0733231040702291,999
"Core",2004,0.0592293256729176,0.0479297210723394,0.0716236314499846,999
"Core",2005,0.0606248848723266,0.0480409769545972,0.0724807317482879,999
"Core",2006,0.0577519751622949,0.0469507871458888,0.0700329791429549,999
"Core",2007,0.0555279340974815,0.0456534559525118,0.0678591425124376,999
"Core",2008,0.053798626902608,0.0423920596470387,0.0636356390144856,999
"Core",2009,0.0526744808672036,0.0427190158615938,0.0617746321488408,999
"Core",2010,0.0551473679340188,0.0465004255829812,0.0660664511893822,999
"Core",2011,0.0523630371850936,0.0438161596616007,0.0625422377967714,999
"Core",2012,0.051622172771618,0.0421476429548288,0.0611818426660401,999
"Core",2013,0.0500197952862012,0.0419593020046969,0.0597184336623962,999
"Core",2014,0.0495301109575896,0.0414958715911032,0.0581398104323836,999
"Core",2015,0.0504384934489092,0.0419517381013573,0.0589695470252517,999
"Core",2016,0.0511811213166868,0.042613799121627,0.0594349663624966,999
"Core",2017,0.0485055062184617,0.0405400207113153,0.055984813221862,999
"Core",2018,0.0517264560068099,0.0436834728104041,0.0602946960246046,999
"Core",2019,0.0578883306651659,0.0485019431743529,0.0674304861541007,999
"Core",2020,0.0650724192202654,0.0556478255760124,0.0749285494234354,999
"Core",2021,0.0486531624860686,0.0398106043059346,0.0574087486151608,999
"Core",2022,0.0384633858362202,0.0309021296854954,0.0460362394411677,999
"Core",2023,0.0305831898395348,0.02448956766329,0.0381163449912593,999
"Buffer",2000,0.121584404774051,0.104930737498628,0.141790425060601,999
"Buffer",2001,0.128821307748542,0.111060294454271,0.149358988141677,999
"Buffer",2002,0.134569312079464,0.114643480839462,0.152228977645379,999
"Buffer",2003,0.141099792563443,0.123310325236787,0.160270919749445,999
"Buffer",2004,0.147477979926133,0.129952026878698,0.165736815760963,999
"Buffer",2005,0.152045476736336,0.131992964237167,0.168959180281174,999
"Buffer",2006,0.149680921386969,0.134312415110472,0.168472588221547,999
"Buffer",2007,0.148010689111362,0.131608774871625,0.163095316265476,999
"Buffer",2008,0.143531152734687,0.129879499783127,0.15936255357452,999
"Buffer",2009,0.134844521932921,0.120187350561472,0.147347983928847,999
"Buffer",2010,0.126619701511444,0.113904466781999,0.138862781524688,999
"Buffer",2011,0.12113658881501,0.10856119165344,0.132538946274217,999
"Buffer",2012,0.119208776742968,0.108714142066071,0.131754467234545,999
"Buffer",2013,0.119904094171593,0.107517514152191,0.130042057834959,999
"Buffer",2014,0.122906319039233,0.11274499191776,0.13474597513604,999
"Buffer",2015,0.123662063035796,0.113559386476974,0.136168627519626,999
"Buffer",2016,0.126354411576585,0.115624948021351,0.137170424785381,999
"Buffer",2017,0.133376638138309,0.122351346123022,0.144728430471154,999
"Buffer",2018,0.139663204245886,0.128818768911786,0.152089113387569,999
"Buffer",2019,0.140650873054269,0.128753445908802,0.152646957622438,999
"Buffer",2020,0.122474668085662,0.111596667007443,0.1358981363111,999
"Buffer",2021,0.102620405375213,0.090633824441793,0.114025364114321,999
"Buffer",2022,0.0900179158714058,0.0789696635185918,0.100873939296666,999
"Buffer",2023,0.0803865121485173,0.0690132608919836,0.0912415039766769,999
"Outside",2000,0.111202095703436,0.0950735416501806,0.129253489849262,999
"Outside",2001,0.116512637449936,0.0995058444514627,0.13252977433255,999
"Outside",2002,0.120812124322872,0.104571406254711,0.1374003491031,999
"Outside",2003,0.124984043052553,0.10984628395776,0.140700267362515,999
"Outside",2004,0.128882492289131,0.113021054353332,0.144368873970789,999
"Outside",2005,0.130847159724607,0.116701714872871,0.14573701810969,999
"Outside",2006,0.131207849866715,0.116665035652358,0.144539185692447,999
"Outside",2007,0.13392289500596,0.119126821684577,0.146905824886558,999
"Outside",2008,0.135415280083411,0.122122575022891,0.149197739896537,999
"Outside",2009,0.136414592171368,0.123215482155112,0.148610143441316,999
"Outside",2010,0.122293557993167,0.111275319749707,0.134329409483464,999
"Outside",2011,0.115337224329342,0.10396893835277,0.125607988523185,999
"Outside",2012,0.109266084735875,0.0992318030195661,0.119929608322718,999
"Outside",2013,0.108172904201646,0.0976268580182064,0.117855621355881,999
"Outside",2014,0.10413455500221,0.0937339071532226,0.113490682071746,999
"Outside",2015,0.102048842252543,0.0929757605517295,0.112048401110652,999
"Outside",2016,0.107989563876731,0.0984164047966363,0.117406041701882,999
"Outside",2017,0.107501594640687,0.0977405237408316,0.116551867663285,999
"Outside",2018,0.103695309730976,0.0945960975824567,0.112001176692145,999
"Outside",2019,0.10479719567338,0.0958275999401689,0.114374153933247,999
"Outside",2020,0.10208383808301,0.0925164730577306,0.111855359952014,999
"Outside",2021,0.095342221169799,0.0854586231266605,0.105799832864766,999
"Outside",2022,0.0892812134632121,0.0794527212684321,0.0990054799850337,999
"Outside",2023,0.0818921397498017,0.0720279916190998,0.0922637660056474,999
