"Zone","growth_median","growth_hdi_low","growth_hdi_high","n"
"Core",-2.274862238261,-3.6267343419341,-0.764483606463939,999
"Buffer",-1.78760275457597,-2.69031169811751,-0.931085035755297,999
"Outside",-1.33723628486365,-2.24482301314857,-0.463346315581592,999
