"Zone","Year","gm_median","gm_low","gm_high"
"Core",2000,0.0661253878748441,0.0466472142350228,0.0921197058280414
"Core",2001,0.0723863783284804,0.0526524562233202,0.0955339691595706
"Core",2002,0.0751236545650511,0.0561062126399512,0.0991888008258715
"Core",2003,0.0790166986168383,0.05895825189325,0.102630996843575
"Core",2004,0.0766431429112027,0.0561171245366515,0.099822251861298
"Core",2005,0.0790592933407105,0.0578031860918688,0.101709551797284
"Core",2006,0.0759487236636672,0.0565011824343918,0.100602570563344
"Core",2007,0.0722448662662328,0.0525558441564709,0.0936046962528221
"Core",2008,0.0734590944178133,0.0557528066334743,0.093640710425297
"Core",2009,0.0733022363181392,0.0558686995303158,0.091234873747732
"Core",2010,0.076178527797523,0.0601665397936482,0.0933849980494496
"Core",2011,0.0795047261345624,0.0640179043007464,0.0955415492772298
"Core",2012,0.0776963250154799,0.0628195108560803,0.0945071847335674
"Core",2013,0.0777788540750417,0.0631634862779222,0.0931211924485818
"Core",2014,0.0783939958928354,0.064308846863158,0.0922376497487279
"Core",2015,0.0822165836401731,0.067421948269759,0.0982167945222261
"Core",2016,0.0854424930710667,0.0725081985695008,0.097793156807609
"Core",2017,0.0849998849780303,0.0705908659999289,0.0985495967916272
"Core",2018,0.0900795807163398,0.075149009491344,0.103929232530381
"Core",2019,0.103922235460746,0.0870657930175631,0.119427299976262
"Core",2020,0.11256243148072,0.0932740464999404,0.132155369627321
"Core",2021,0.0929307480566379,0.0773471713469888,0.109747182403014
"Core",2022,0.0815374537835732,0.0680442706343705,0.0957110036437609
"Core",2023,0.068456453318664,0.0549777304441509,0.0826939155523193
"Buffer",2000,0.125381058337292,0.0986969217358902,0.152537937809436
"Buffer",2001,0.1347076606622,0.109651497975636,0.160250703061518
"Buffer",2002,0.139312269518404,0.115481289263318,0.164613773008881
"Buffer",2003,0.142198138399441,0.119824531372089,0.166688403033979
"Buffer",2004,0.145815218711603,0.124158072341232,0.168869912369219
"Buffer",2005,0.144606984268165,0.119288045346739,0.166782530979465
"Buffer",2006,0.144970460904474,0.123341135638301,0.163935152031081
"Buffer",2007,0.143798268465138,0.122350326231794,0.162871168062312
"Buffer",2008,0.137179276070442,0.11715420014107,0.15441834178183
"Buffer",2009,0.132892029385355,0.116618823797483,0.148804757794215
"Buffer",2010,0.124653890096013,0.109309463051705,0.139033184540401
"Buffer",2011,0.119858854699192,0.104915119494914,0.133996574974833
"Buffer",2012,0.120432191046861,0.106400056773223,0.132681115696324
"Buffer",2013,0.123327578403095,0.110567337854651,0.133860663200226
"Buffer",2014,0.131746091937226,0.119094551012018,0.143119622111831
"Buffer",2015,0.133601368088855,0.122038303964495,0.144047634180043
"Buffer",2016,0.13606976394111,0.126034611670871,0.145967782479483
"Buffer",2017,0.153426668008626,0.144100598072152,0.162785950841859
"Buffer",2018,0.160674670420156,0.151596596949114,0.17032630630493
"Buffer",2019,0.171034256147884,0.160668813059994,0.180614224098835
"Buffer",2020,0.152136637139092,0.141943507284049,0.162508517704688
"Buffer",2021,0.13623558823725,0.126029788636877,0.146131511631398
"Buffer",2022,0.118157486280755,0.10852639274266,0.127317861964721
"Buffer",2023,0.108309856443845,0.098249327196319,0.118425311697261
"Outside",2000,0.131863161104015,0.107493408805243,0.159442384214751
"Outside",2001,0.137248443366256,0.11311140016055,0.160231039290635
"Outside",2002,0.139314336881717,0.117942540896048,0.160756665801487
"Outside",2003,0.14069594193703,0.121493850990757,0.161532879873411
"Outside",2004,0.143701738659297,0.12520268142074,0.162400443354742
"Outside",2005,0.147100625982379,0.128783788194357,0.164725369009165
"Outside",2006,0.147445688737009,0.130357435405217,0.16422855295314
"Outside",2007,0.146375163210533,0.131245124914523,0.162419670368213
"Outside",2008,0.143733356059934,0.128841332636045,0.158342603112831
"Outside",2009,0.139048475463287,0.124841135889069,0.15231972545871
"Outside",2010,0.129702300636156,0.117849470205205,0.140734139381476
"Outside",2011,0.125462414986161,0.114348541456433,0.13599970971391
"Outside",2012,0.123588284194255,0.112602681612046,0.133622178822157
"Outside",2013,0.121664289090532,0.112254258693617,0.1306347920632
"Outside",2014,0.123097515103204,0.114209517773824,0.133818962643442
"Outside",2015,0.123530315594801,0.11137101101567,0.133774101004251
"Outside",2016,0.130769395510147,0.122157478848271,0.140139111058723
"Outside",2017,0.137113936799059,0.127799467053577,0.146136336287385
"Outside",2018,0.133826974350259,0.12501669519453,0.142553931069831
"Outside",2019,0.139869959155837,0.131259768768571,0.148798358043162
"Outside",2020,0.141493580737662,0.131650292135231,0.151430878467445
"Outside",2021,0.13533226310421,0.1249305231924,0.145055781290455
"Outside",2022,0.12168952178942,0.111482680568235,0.130982474950269
"Outside",2023,0.117114726447528,0.106256743657304,0.128352380754279
