"Zone","Year","gm_median","gm_hdi_low","gm_hdi_high","n"
"Core",2000,0.134058989226801,0.0965392719671378,0.173582648500621,999
"Core",2001,0.146042438976774,0.111817571625195,0.182574291770616,999
"Core",2002,0.151041782946063,0.115347241010585,0.185892330539179,999
"Core",2003,0.152604176046489,0.115844342266871,0.184476418535648,999
"Core",2004,0.149849753154001,0.115030659289759,0.183934072678366,999
"Core",2005,0.149564764067853,0.1173658298079,0.181088671161975,999
"Core",2006,0.153819993704699,0.11955084691678,0.181354026340979,999
"Core",2007,0.151570307476392,0.122793363638031,0.181689782308613,999
"Core",2008,0.148481307989019,0.120515148025699,0.176141952175344,999
"Core",2009,0.151363528537226,0.123968368758502,0.176165396653751,999
"Core",2010,0.152072224908787,0.128099434387056,0.175000446928702,999
"Core",2011,0.151566660564327,0.129792399625642,0.173321402069916,999
"Core",2012,0.154247757310333,0.130858172592451,0.17409959566402,999
"Core",2013,0.153969250639665,0.129946963365282,0.172802891703107,999
"Core",2014,0.151357625963793,0.131475027212458,0.173844060305987,999
"Core",2015,0.15896363139619,0.138060668725913,0.177692355256203,999
"Core",2016,0.160165396581211,0.141652250481988,0.178154760986248,999
"Core",2017,0.165506649572201,0.147016070498184,0.181355351080107,999
"Core",2018,0.170814425338743,0.152164804677714,0.185719831842491,999
"Core",2019,0.186663497822839,0.16844465098628,0.204110917322799,999
"Core",2020,0.186821846965788,0.166038630534145,0.207019569820693,999
"Core",2021,0.165454061274965,0.145238587400649,0.18522632971165,999
"Core",2022,0.145248150634881,0.124385915250752,0.163006818552702,999
"Core",2023,0.129584094329334,0.108569667113017,0.147122234500514,999
"Buffer",2000,0.19263191289319,0.156829437832002,0.227077681130101,999
"Buffer",2001,0.205440993569391,0.169371817418254,0.236646754678043,999
"Buffer",2002,0.210204721086921,0.17923190765839,0.240454721706621,999
"Buffer",2003,0.210251989009,0.182292335024237,0.236894976662454,999
"Buffer",2004,0.206096860805035,0.182018313020312,0.23202718770783,999
"Buffer",2005,0.201702332282229,0.178122990441717,0.225785877492884,999
"Buffer",2006,0.204071863088141,0.182031941882882,0.226641613503913,999
"Buffer",2007,0.206589309092727,0.185560099196784,0.225401992650165,999
"Buffer",2008,0.203326839182212,0.181366065131576,0.221212583500832,999
"Buffer",2009,0.201757771463991,0.1794200324297,0.220465326912899,999
"Buffer",2010,0.195808373410285,0.180533313640234,0.21258574625799,999
"Buffer",2011,0.191213023130679,0.177570916406159,0.207299703607255,999
"Buffer",2012,0.18359566322463,0.171146237213616,0.198590999026392,999
"Buffer",2013,0.182601486188589,0.169668093053954,0.196461465807666,999
"Buffer",2014,0.191862842158641,0.177306172409765,0.204516491069985,999
"Buffer",2015,0.189107270208244,0.176351845416483,0.200463398163648,999
"Buffer",2016,0.191223238676578,0.179347802721027,0.202914571311062,999
"Buffer",2017,0.213067638990748,0.201112648337104,0.224757838747342,999
"Buffer",2018,0.219684555493406,0.20776586835814,0.231346575658019,999
"Buffer",2019,0.236344854559344,0.224839220686396,0.249411673432434,999
"Buffer",2020,0.216855574823436,0.20420599975796,0.229429843587213,999
"Buffer",2021,0.198029523237429,0.185763940419638,0.210977201139753,999
"Buffer",2022,0.169736684202064,0.155532489596536,0.181780953823652,999
"Buffer",2023,0.153188961381556,0.142192571058737,0.168379859252328,999
"Outside",2000,0.17919402535815,0.148284383012675,0.212199812891496,999
"Outside",2001,0.184972616835076,0.156871556742956,0.215201556900881,999
"Outside",2002,0.190703499849397,0.166267854881525,0.215434589305031,999
"Outside",2003,0.192216610682985,0.169793456053045,0.217318825027241,999
"Outside",2004,0.196508356468432,0.175201525053566,0.219053224436943,999
"Outside",2005,0.205735758175027,0.183989005923559,0.226587718533009,999
"Outside",2006,0.212077476559532,0.19281261498278,0.233632774949336,999
"Outside",2007,0.211617268083918,0.194801197492952,0.230924927844686,999
"Outside",2008,0.202716774817404,0.183594098701933,0.220429850041305,999
"Outside",2009,0.191223133701526,0.176252025866852,0.206134092830135,999
"Outside",2010,0.177494547988299,0.163768296085003,0.19089195415863,999
"Outside",2011,0.170837068606233,0.158572970203642,0.185006168212717,999
"Outside",2012,0.167913207738692,0.154357921637001,0.181496122445031,999
"Outside",2013,0.16211871855115,0.148882530238908,0.173157800272872,999
"Outside",2014,0.168342988320226,0.156682669828006,0.181366693605472,999
"Outside",2015,0.173378527139222,0.161475230163917,0.186642421316601,999
"Outside",2016,0.177090411494295,0.165831039275947,0.188404418301626,999
"Outside",2017,0.192893207130811,0.181952146665508,0.203967328650287,999
"Outside",2018,0.193620352188261,0.18301430744607,0.206572993647341,999
"Outside",2019,0.204379276508266,0.192432242147505,0.215798338166008,999
"Outside",2020,0.208155143030645,0.196099331124456,0.219449420774748,999
"Outside",2021,0.19418818445406,0.18269631353735,0.205659449924852,999
"Outside",2022,0.170759115538959,0.160323826417498,0.181671681755875,999
"Outside",2023,0.164121819277422,0.150775889403156,0.176163986461154,999
